Titr,Lead,Date,Time,Tags
                 اسماعیل سلطانیان بازیگر سینما و تلویزیون درگذشت             ,                  اسماعیل سلطانیان بازیگر باسابقه سینما و تلویزیون و عضو موسسه هنرمندان پیشکسوت درگذشت.                  ,"[14, 6, 2023]","[10, 47]","['اسماعیلسلطانیان', 'بازیگرپیشکسوت', 'ایستقلبی']"
                 عکسی عجیب در برگه امتحانی پایه ششم دبستان مشهد             ,                  در بسته زیر اخبار و محتوا‌های آموزشی پیرامون «فرزندان سرپرست وزارت آموزش و پرورش در چه مدارسی درس می خوانند؟»، «افزایش ۹۰ درصدی هزینه های تحصیل در سال تحصیلی آتی»، «۹۷ درصد اعتبارات آموزش و پرورش صرف پرداخت حقوق کارمندان می‌شود»، «سرودی فوق العاده از دانش آموزان یمنی علیه اسرائیل»، «مسیر تغییر رشته برای سال‌های آینده سخت‌ تر می شود»، «فیلمی از جمله قصاربازی معلم و شاگردان در کلاس»، «تست بینایی؛ در کمتر از ۲۰ ثانیه عدد ۴۳ را پیدا کن»، «معرفی چند کتاب داستان درباره ی امام رضا علیه السلام»، «فرمول محاسبه سودبانکی انواع سپرده چگونه است؟»، «خالی کردن آب یک سد برای یافتن تلفن همراه آقای رئیس!»،  را با کلیک بر تیتر آن بخوانید.                  ,"[30, 5, 2023]","[23, 6]","['سایتخبریمدرسهآنلاین', 'یمن', 'مدرسه', 'کلاسدرس']"
                 عروسک‌های هدیه شده در مهمونی ۱۰ کیلومتری غدیر             ,                  مراسم جشن عید سعید غدیر خم با عنوان «مهمونی ۱۰ کیلومتری غدیر» در تهران برای دومین سال پیاپی جمعه ۱۶ تیرماه از میدان امام حسین تا میدان آزادی برگزار شد.                  ,"[8, 7, 2023]","[21, 12]","['عیدغدیر', 'مهمونیدهکلیلومتری', 'عروسک']"
                 رسمی: استقلال ساپینتو را کنار گذاشت             ,,"[31, 5, 2023]","[23, 34]","['ساپینتو', 'استقلال', 'حجتکریمی']"
                 فیلمی از دف نوازی شاد و زیبای دختربچه ایرانی             ,                  در بسته زیر اخبار و محتوا‌های آموزشی پیرامون  «فیلم بازی دختران دانش آموز با اسلحه واقعی در کلاس درس»، «چه کسی پاسخگوی ناهماهنگی وزارت آموزش و پرورش برای گزینش معلمان است؟»، «فیلم بازی کودک با تبلت در خواب»، «آزمون هوش؛ کدام شکل، تصویر آیینه‌ای است؟»، «چگونه در خانه اسموتی آلبالوی خنک درست کنیم؟»، «مثلِ آرزو بر جوانان عیب نیست کجا به کار می‌رود؟»، «دوستی در اینستاگرام باعث آبروریزی دختر دانش آموز شد» را با کلیک بر تیتر آن بخوانید.                  ,"[6, 7, 2023]","[18, 0]","['مدرسهآنلاین', 'سایتخبریمدرسهآنلاین', 'تبلت', 'کنکور', 'خواب', 'اسموتی', 'آلبالو', 'گزینش', 'گزینشمعلمان', 'آزموناستخدام', 'وزارتآموزشوپرورش']"
                 آماده شدن آمریکا برای جنگ زمینی با روسیه / پیشروی روسیه در جبهه جنوبی جنگ با روسیه             ,                  پانصد روز از حمله روسیه به اوکراین با دستور ولادیمیر پوتین، رئیس جمهور این کشور می‌گذرد؛ تهاجمی که رویداد‌های بسیاری به دنبال داشته و منجر به تحریم گسترده روسیه از سوی بلوک غرب شده است و دورنمای مشخصی برای پایان آن نیز وجود ندارد.                  ,"[15, 7, 2023]","[20, 46]","['جنگاوکراین', 'روسیه', 'آمریکا', 'اروپا', 'چین', 'ناتو']"
                 تصادف شدید خودرو عروس در محور مشهد به کلات             ,                  شب گذشته در ابتدای جاده کلات مشهد خودرو پرایدی که برای ماشین عروس آماده شده بود تصادفی شدیدی داشت وضعیت عمومی سرنشینان خودرو مشخص نیست. منبع: چندثانیه                  ,"[30, 6, 2023]","[17, 22]","['تصادفشدید', 'کلات', 'تصادفماشینعروس']"
                 مراسم عروسی ولیعهد اردن در کاخ حسینیه             ,,"[3, 6, 2023]","[14, 17]","['هوشمصنوعی', 'تابناکباتو', 'مهریه']"
                 چرا نباید قرص «زینک» بخوریم؟             ,                  زینک یا همان «روی» یک ماده معدنی ضروری است که در سلول‌های بدن یافت می‌شود، اما در بدن تولید نمی‌شود و باید از طریق مکمل یا مصرف غذا و نوشیدنی دریافت شود.                  ,"[14, 5, 2023]","[12, 56]","['روی', 'زینک', 'موادمعدنی']"
                 عکس یادگاری همسران سران ناتو             ,                  نشست دو روزه سران ناتو در شهر ویلنیوس پایتخت لیتوانی برگزار شد و در حاشیه این نشست همسران سران ناتو در برنامه دیدار با کودکان، زنان و جوانان اوکراین ودیدار کردند. در این برنامه، همسران رهبران به داستان های قربانیان جنگ اوکراین گوش دادند و با کودکان، زنان و جوانان گپ زدند. آنان همچنین از کاخ دوک بزرگ لیتوانی بازدید کردند و در مقابل کاخ عکس یادگاری گرفتند. شست دو روزه ناتو در شهر ویلنیوس روز چهارشنبه با حمایت قاطع از اوکراین به پایان رسید زیرا اعضای ناتو بر روی یک بسته سه قسمتی به منظور نزدیک‌تر کردن این کشور به سازمان پیمان آتلانتیک شمالی به توافق رسیدند و کشورهای گروه هفت نیز بیانیه مشترکی را در مورد تضمین‌های امنیتی برای کی‌یف امضا کردند.                  ,"[13, 7, 2023]","[19, 8]","['عکسیادگاری', 'ناتو', 'لوکزامبورگ']"
                 نمرات باورنکردنی دانش آموزان یک معلم بلاگر در آخر سال             ,                  در بسته زیر اخبار و محتوا‌های آموزشی پیرامون «استفاده از چه تنبیه هایی برای دانش آموزان مجاز است؟»، «نمرات باورنکردنی دانش آموزان یک معلم بلاگر در آخر سال»، «روستای اندیکا صاحب مدرسه می شود»، «شرط ثبت‌نام متولدین مهر در کلاس اول چیست؟»، «سوزاندن با اتو تنها نمونه ای از کودک آزاری در یک مرکز نگهداری کودکان است»، «طرز تهیه ی شربت دو رنگ و سه رنگ با طعمی فوق العاده»،«شما تنها 7 ثانیه فرصت دارید تا مگس را از میان دیگر حشرات پیدا کنید»، «چگونه به سادگی در درس ریاضی عالی شویم؟» را با کلیک بر تیتر آن بخوانید.                  ,"[11, 6, 2023]","[18, 23]","['مدرسهآنلاین', 'تنبیه', 'اندیکا', 'ثبتنام', 'کودکآزاری', 'شربت', 'بلاگر', 'حشرات', 'ریاضی']"
                 ادعای واشنگتن پست درباره سیگنال ایران به آمریکا             ,                  واشنگتن پست مدعی شد: مذاکرات ایروانی و مالی پس از زد و خورد ایران و امریکا در سوریه شروع شد؛ تهران سیگنال مذاکره فرستاد. مشاور ارشد بایدن به ایران گفته با تداوم غنی سازی ۶۰ درصدی و ممانعت از فعالیت بازرسان آژانس، هیچ شانسی برای احیای دیپلماسی و کاهش تحریم‌ها وجود ندارد.                  ,"[22, 6, 2023]","[10, 28]","['ایران', 'آمریکا', 'مذاکرات', 'ایروانی', 'رابرتمالی']"
                 لیست خرید نکونام در استقلال منتشر شد             ,                  جواد نکونام نام چهار بازیکن از بین شاگردانش در فولاد را برای خرید به سرپرست باشگاه می‌دهد                  ,"[20, 6, 2023]","[23, 49]","['جوادنکونام', 'استقلال', 'لیستخرید', 'نقلوانتقالات']"
                 تصویر دیدنی از یک عروس در زمان قاجار؛ ۱۱۸ سال قبل             ,"                  فرادید نوشت: در این تصویر یک مراسم عروسی در دوره قاجار در تبریز سال ۱۲۸۴ هجری شمسی را ببینید.

تصویری از مراسم عروسی در دوره قاجار - محله ششگلان تبریز سال ۱۲۸۴ هجری شمسی را ببینید.                  ","[2, 7, 2023]","[15, 49]","['قاجار', 'عروسی', 'عکسقدیمی']"
                 مستمری جدید مددجویان کمیته امداد اعلام شد             ,                  معاون حمایت و سلامت خانواده کمیته امداد در خصوص مستمری جدید مددجویان تحت پوشش این نهاد توضیح داد.                  ,"[26, 6, 2023]","[18, 16]","['حسینخدرویسی', 'مستمری', 'کمیتهامداد']"
                 نحوه صحیح مصرف سیاه دانه چگونه است؟             ,                  سیاه دانه، دانه‌های ریز سیاه رنگی است که در جنوب غربی آسیا و در ایران در نقاط مرکزی مانند اراک و اصفهان می‌روید.                  ,"[16, 7, 2023]","[18, 2]","['خواصسیاهدانه', 'سیاهدانه', 'بهداشتودرمان']"
                 مردی که در تهرانپارس خواهرش را آتش زد             ,,"[22, 5, 2023]","[1, 29]","['دکوراسیونداخلی', 'تابناکباتو', 'تهیهدسر']"
                 گنج پنهان‌ درون حشره نامحبوب/ عکس             ,                  سوسک موپلی اگر احساس خطر کند از غدد دفاعی خود ماده‌ای ترشح می‌کند که باعث تاول روی پوست دست انسان می‌شود. محققان به تازگی دریافتند که از این ترشحات در این سوسک دردسرساز می‌توان برای تولید نانوذرات نقره استفاده کرد.                  ,"[4, 7, 2023]","[15, 4]","['سوسکموپلی', 'آجایاکامور', 'حشره']"
