Top pages,Clicks,Impressions,CTR,service,category,bato
https://www.tabnak.ir/fa/news/1176977/بلندترین-آبشار-استان-تهران,2381,24521,9.71%,1,7,0
https://www.tabnak.ir/fa/news/1176837/اهداف-سفر-پادشاه-عمان-به-تهران-از-زبان-فرجی‌راد ,2379,25539,9.32%,4,7,0
https://www.tabnak.ir/fa/news/1184071/جانمایی-نیروگاه‌های-اتمی-جدید-در-۵-استان-رئیس-کمیسیون-اجتماعی-مجلس-حقوق-بازنشستگان-معادل-۹۰-درصد-حقوق-شاغلان-می‌شود,2377,31972,7.43%,4,1,0
https://www.tabnak.ir/fa/news/1178364/رفتار-عجیب-رونالدو-هنگام-ورود-به-یک-رستوران,2371,18824,12.6%,1,4,19
https://www.tabnak.ir/fa/news/1179499/حمله-پهپادی-اوکراین-به-پالایشگاه-نفتی-روسیه,2367,18391,12.87%,1,9,0
https://www.tabnak.ir/fa/news/1180225/آخرین-مهلت-ثبت‌نام-ارشد-بدون-آزمون-دانشگاه-آزاد,2358,34363,6.86%,1,5,0
https://www.tabnak.ir/fa/news/1180252/جزئیاتی-از-پروژه‌های-آبرسانی-به-مناطق-شرقی-استان-سیستان-و-بلوچستان-برنامه‌های-دولت-برای-حل-مشکل-آب-مناطق-شرقی-سیستان-و-بلوچستان-به-سرانجام-می‌رسد,2348,28860,8.14%,1,2,0
https://www.tabnak.ir/fa/news/1181976/معتادهای-عزیز-روزتان-مبارک,2345,32660,7.18%,1,6,0
https://www.tabnak.ir/fa/news/1181982/جزئیات-ساخت-سخت‌ترین-قطعه-آزادراه-تهران-ـ-شمال,2337,26450,8.84%,1,2,0
https://www.tabnak.ir/fa/news/1178434/گفتگوی-تلفنی-وزرای-خارجه-ایران-و-جمهوری-آذربایجان,2335,21192,11.02%,1,4,0
https://www.tabnak.ir/fa/news/1181257/موشک-نقطه-زنی-که-برای-روسیه-دردسرساز-شده,2332,28635,8.14%,1,7,0
https://www.tabnak.ir/fa/news/1181084/زیاده‌روی-در-مصرف-این-ویتامین-باعث-ریزش-مو-می‌شود,2312,31667,7.3%,1,4,0
https://www.tabnak.ir/fa/news/1178445/مجوز-تولید-این-غذای-ممنوعه-برای-اولین-بار-صادر-شد,2301,46769,4.92%,1,5,21
https://www.tabnak.ir/fa/news/1181402/سرنخ‌های-جدیدی-از-ساختار-جهان-در-داده‌های-جیمز-وب,2301,31880,7.22%,1,2,0
https://www.tabnak.ir/fa/news/1175224/ضرب-الاجل-یک-ماهه-رئیسی-به-چهار-مقام-مسئول-برای-ارائه-راهکار‌های-تأمین-مالی-ساخت-۴-میلیون-خانه-به-کجا-رسید,2297,85036,2.7%,6,4,0
https://www.tabnak.ir/fa/news/1182544/پایان-غم‌انگیز-والیبال-ایران-با-دهمین-باخت-اینبار-به-کوبا-بدترین-نتایج-تاریخ-در-لیگ-ملت‌ها,2289,25439,9%,2,4,0
https://www.tabnak.ir/fa/news/1176993/حقوق-کارگران-بیشتر-می‌-شود,2288,27542,8.31%,1,3,0
https://www.tabnak.ir/fa/news/1183903/قیمت-گوشت-ایرانی-چندبرابر-فقیرترین-کشورهای-جهان,2287,47468,4.82%,1,3,0
https://www.tabnak.ir/fa/news/1181286/دو-لایحه-جدید-برای-سربازی-به-مجلس-ارسال-می‌شود,2284,24429,9.35%,1,6,0
https://www.tabnak.ir/fa/news/1182934/فدراسیون-کشتی-اعزام-۷۰نفر-به-آمریکا-را-تایید-کرد,2284,19299,11.83%,2,4,0
https://www.tabnak.ir/fa/news/1181980/افتتاح-مسیر-رفت-منطقه۲-آزادراه-تهران-شمال,2282,26685,8.55%,1,0,0
https://www.tabnak.ir/fa/news/1180899/تصاویر-سارقان-و-مال-خران-پایتخت,2272,37392,6.08%,1,9,0
https://www.tabnak.ir/fa/news/1176021/توضیح-بهزیستی-درباره-متقاضیان-در-صف-فرزندخوانده,2271,45218,5.02%,1,1,0
https://www.tabnak.ir/fa/news/1172859/دستگیری-عضو-شورای-شهر-در-چهارمحال-و-بختیاری,2269,23975,9.46%,1,9,0
